word,q,freq
underscore,2020.75,0.0004302925989672978
underscore,2021.0,0.0
underscore,2021.25,0.0
underscore,2021.5,0.0006838386140870754
underscore,2021.75,0.00021939447125932427
underscore,2022.0,0.0
underscore,2022.25,0.000482392667631452
underscore,2022.5,0.00022461814914645105
underscore,2022.75,0.0006702412868632708
underscore,2023.0,0.00023441162681669012
underscore,2023.25,0.0011636025133814289
underscore,2023.5,0.0019140791152700979
underscore,2023.75,0.0016884761502743773
underscore,2024.0,0.0024954627949183303
underscore,2024.25,0.005300713557594291
underscore,2024.5,0.005615640599001664
underscore,2024.75,0.006268364348677767
underscore,2025.0,0.008313057583130576
underscore,2025.25,0.008048684727129957
underscore,2025.5,0.0075445816186556925
underscore,2025.75,0.0054899351189485945
pivotal,2015.0,0.0013812154696132596
pivotal,2015.25,0.0011010184420589045
pivotal,2015.5,0.0
pivotal,2015.75,0.0007591093117408907
pivotal,2016.0,0.0
pivotal,2016.25,0.00026838432635534085
pivotal,2016.5,0.0012943308309603934
pivotal,2016.75,0.0005149330587023687
pivotal,2017.0,0.0005535566011624688
pivotal,2017.25,0.0013846579894765993
pivotal,2017.5,0.001606425702811245
pivotal,2017.75,0.0
pivotal,2018.0,0.0
pivotal,2018.25,0.00100150225338007
pivotal,2018.5,0.0005028916268544129
pivotal,2018.75,0.0016742406122937097
pivotal,2019.0,0.0009643201542912247
pivotal,2019.25,0.0012565971349585323
pivotal,2019.5,0.0006846188954815153
pivotal,2019.75,0.0002443195699975568
pivotal,2020.0,0.0
pivotal,2020.25,0.0006893382352941177
pivotal,2020.5,0.0008865248226950354
pivotal,2020.75,0.0008605851979345956
pivotal,2021.0,0.000732421875
pivotal,2021.25,0.0009811135638950208
pivotal,2021.5,0.0006838386140870754
pivotal,2021.75,0.0017551557700745941
pivotal,2022.0,0.0014749262536873156
pivotal,2022.25,0.00120598166907863
pivotal,2022.5,0.0022461814914645105
pivotal,2022.75,0.003351206434316354
pivotal,2023.0,0.0011720581340834506
pivotal,2023.25,0.0023272050267628577
pivotal,2023.5,0.002552105487026797
pivotal,2023.75,0.0031658927817644574
pivotal,2024.0,0.0056715063520871144
pivotal,2024.25,0.00672782874617737
pivotal,2024.5,0.004367720465890183
pivotal,2024.75,0.004309500489715965
pivotal,2025.0,0.005474452554744526
pivotal,2025.25,0.00530035335689046
pivotal,2025.5,0.004801097393689987
pivotal,2025.75,0.00349359507569456
