word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank
xing,0.002459961335238462,0.033022312726218,0.006801195226318927,0.009594169892369348,2.2306827402348928,2.945622943382384,False,False,False,66
mbh,0.003230823605555803,-0.005039006882442872,0.006953588416114948,0.011887061076936597,2.2239264370160954,3.840278813490058,False,False,False,67
mrs,0.003906234107022813,0.03814258963681611,0.01107973478648613,0.016936202252481193,2.2135933520665314,3.1351207751754795,True,False,False,68
gent,0.003303776191329369,-0.036146122317507974,0.0057755726702681314,0.004616347608366804,2.211168470689159,1.8998591588659317,True,False,False,69
aids,0.004643528412082718,0.019812839894729418,0.011651891014733774,0.012287245334546795,2.2060652867863144,2.2359766437513926,False,False,False,70
gratitude,0.002787521741492413,-0.024665211933711014,0.0052090307316605446,0.004844152859514507,2.1936454295275456,2.1431436505507913,True,False,False,71
jiao,0.0037341602486560014,0.04543170672348925,0.010987863595131148,0.012786247617428425,2.1901330604650457,2.327227677134719,False,False,False,72
fabricius,0.002287533720243572,-0.041261928254454634,0.0038173714098625206,0.003999370528540248,2.182105742834209,2.4828053537365786,False,False,False,73
vos,0.002311926892607852,0.008402379964810363,0.005308150697134615,0.005271638231540355,2.173951995781153,2.123020024725834,False,False,False,74
hori,0.002062103532621454,-0.006017906482462512,0.004299379785759585,0.0036513483907986023,2.1681203074882833,1.863622422058518,False,False,False,75
mosaics,0.009472772543683282,-0.058820957266411344,0.013997511169386809,0.018417118434955505,2.1658093532935356,3.205400626424156,False,False,False,76
alabama,0.004048583102402234,-0.05126494400135104,0.006249426175281221,0.004798915027906734,2.1540392811446076,1.8326718179336592,True,False,False,77
editing,0.004163940028719996,-0.01777637080986098,0.007952214554025491,0.008430710608404376,2.1437038672921798,2.354947577663231,False,False,False,78
encompassing,0.022821767462630396,0.012802277265805486,0.05295656324807283,0.06545435793432026,2.1351617825045768,2.572347545421128,False,False,False,79
weibel,0.002020354707857272,-0.023610306587061248,0.003687808348239393,0.006142501622448891,2.1280929220452096,3.715995468860228,False,False,False,80
gonz,0.007862330963641324,-0.006653184633701619,0.015972741783518922,0.04628026276473058,2.1213362744439417,6.228805162450143,False,False,False,81
lez,0.00809897562665855,-0.006679015429461529,0.016394770063882763,0.04948252890286709,2.114119466434324,6.466620894005315,False,False,False,82
warrants,0.007261450771458849,-0.02980680056462769,0.012646892765584773,0.022774699514314836,2.1139878030829546,4.040742307366617,False,False,False,83
andr,0.0034251547492595213,-0.03320083066861741,0.005830293894262782,0.019309578706500283,2.112191757848952,7.4757293509638885,False,False,False,84
facilitating,0.010695320181154726,0.056198180758203625,0.03254672374628722,0.05304485164284424,2.1118878353183743,3.0760521246584753,False,False,False,85
pinpointing,0.0025249783036215326,-0.006518530774080633,0.005092606073128266,0.005002881308769178,2.1041838624470763,2.0942365040169535,False,False,False,86
utilizing,0.04169256895421025,0.05161308350169622,0.12249472142689014,0.12052251982310666,2.1006776549629316,1.8641449979095754,False,False,False,87
align,0.036277512259587266,0.048429196654947826,0.10422029640605954,0.16790003315609836,2.0970237193428867,3.066456123561126,True,False,False,88
dutta,0.002758621427864049,0.037572837833449974,0.007365107729157225,0.011144360896050426,2.0913277655391296,2.935369755764819,False,False,False,89
weaver,0.014269585515329142,-0.04162823104797119,0.022651898061665517,0.026073739607387493,2.080684164089794,2.60293132132293,True,False,False,90
pradhan,0.0023855493552130892,-0.046780984784524235,0.0036522928653580926,0.0021386469146106096,2.0750850033792445,1.334267272205821,False,False,False,91
mcleod,0.003453093288697264,-0.013161388829765388,0.006569252006019256,0.006736661767157828,2.0723403422175695,2.181834170695482,False,False,False,92
hinges,0.0054965713914459325,-0.023265975543452628,0.009791814768511979,0.010604406941545325,2.0722834920556688,2.3511532243680113,False,False,False,93
reformulated,0.007444235990980837,-0.041779008197685916,0.011702268239710326,0.01217823889619793,2.0624739368946,2.3334134400634716,False,False,False,94
timestamp,0.002066058753154569,0.033715069460919886,0.005304979358457514,0.008782194890276412,2.0623685857361225,3.1915460835633382,False,False,False,95
nakajima,0.0077944715920821835,-0.03534561132426362,0.012775096682060571,0.01229641171245659,2.062315675096711,2.1304441374612075,False,False,False,96
fakultat,0.0023395451382082523,-0.028548829105131228,0.00400473817963203,0.0,2.060789308948364,0.0,False,False,False,97
surpass,0.007035199540473372,0.04148813232131457,0.018914618585214454,0.022122871035271673,2.053069887274976,2.2100978333019263,True,False,False,98
mei,0.004576695911016749,-0.03266283477535798,0.007585635885370449,0.010389032193124072,2.04948296459328,2.996387593076689,False,False,False,99
unresolvable,0.002327050095677339,-0.040886358353282234,0.003652745913740536,0.004158098977794919,2.047540070668935,2.5294215171346495,True,False,False,100
perrin,0.0031804979982499224,0.012782514892054,0.00707626689747606,0.005556287801168373,2.047505780063931,1.5671223810636086,False,False,False,101
gup,0.0023960544769222525,-0.04819595840697893,0.003585881237945293,0.00041729695894841167,2.0471622572616197,0.26233972653422266,True,False,False,102
diminishes,0.01795846019675046,-0.016932515927050848,0.03287407369047605,0.04416057460247974,2.0435415219672386,2.8396973370837024,False,False,False,103
culminating,0.00382020162286695,-0.016757662277388324,0.006962196335381366,0.00870170962082457,2.032195209392722,2.626511242392682,False,False,False,104
hannah,0.003024664775009002,-0.00804176695269699,0.005827033701060309,0.007471415624615579,2.0298853015898395,2.6449158263185133,False,False,False,105
stsci,0.01533611542032245,-0.051036598901375484,0.022266744409330304,0.0241254084164315,2.023081095927585,2.4275102293126944,False,False,False,106
wcs,0.006556821436270434,-0.03425151994587307,0.010609869862389657,0.015460990303786285,2.02164920870653,3.154885072229149,False,False,False,107
pagano,0.0021974217103228216,-0.0362363385467874,0.00350859644935386,0.004890610745603655,2.0207476422109645,3.0284209556895565,False,False,False,108
superiore,0.0027165704089216363,0.020471104685220832,0.00626863191639457,0.003625267330864326,2.02005704188703,1.1213725617442922,False,False,False,109
csc,0.0033996721740969975,-0.023295265983071075,0.005902053247739528,0.004434802223994516,2.019884880145376,1.5901268193816143,False,False,False,110
brammer,0.007271657396242054,-0.032774810034114185,0.011869158977744525,0.013738618312956443,2.0197936960644887,2.496306812245818,False,False,False,111
navy,0.003289649263942717,-0.033833333505306984,0.005331798067547026,0.008928492836804632,2.019448077645389,3.618465307621859,True,False,False,112
vries,0.004061406573778255,-0.05704242317664515,0.005659148011735853,0.006330773275768224,2.018833245324522,2.5313521985848944,False,False,False,113
deblend,0.00330552646872776,-0.051880583288023356,0.00475647050062228,0.005231906614398255,2.0160374730697312,2.460008899876189,False,False,False,114
uncalibrated,0.005493274018048197,-1.4546871659860567e-05,0.01106650752886991,0.013887158349133677,2.0147463847425593,2.528342029671711,False,False,False,115
harten,0.0030515088950557865,-0.04273122413890408,0.004655085293235993,0.005576664627323244,2.0139077772666196,2.627860659829317,False,False,False,116
xin,0.004838636867786781,0.006086618298348726,0.010130579776787253,0.017012203342635004,2.012469327400283,3.338633636781918,False,False,False,117
rigby,0.0032477770979358,0.03608895615379004,0.008259177321004379,0.006276369066250658,2.011289336101616,1.4220005516780354,False,False,False,118
deciphering,0.002140261508341011,0.019864823812162428,0.004883857174858563,0.004904261302811479,2.0054850181880144,1.935422127993229,False,False,False,119
uncovering,0.006018109489052346,0.0037029767475512867,0.01236312432063585,0.02278732803635502,2.005464443027525,3.6691356608829993,False,False,False,120
dormant,0.003847501029907983,-0.05307378865836535,0.00545501845181595,0.00696792916243592,2.001890078810279,2.8434594371673496,True,False,False,121
finkelstein,0.012405563338314888,-0.017611573390353404,0.02214153412248087,0.013525485654184207,2.0012768773072147,1.266337755308504,False,False,False,122
maiolino,0.010228058472061308,0.0019385579586888777,0.020693243752877462,0.02216952694067455,1.9978505092645527,2.1320973543749044,False,False,False,123
necessitated,0.0036531962164305675,-0.03777056155695884,0.005707890752233373,0.007228739761778678,1.9972190740428046,2.7278452920704614,False,False,False,124
mast,0.014916778511747487,0.016957469484301685,0.03324817647258188,0.04307087431901957,1.9962885209182155,2.4998278116910027,True,False,False,125
libeskind,0.0028450052008513944,-0.04431329097922876,0.004256704383284566,0.0023472953940848157,1.9956438650727726,1.2024508475113835,False,False,False,126
quasiperiodic,0.002687945334932839,-0.02788620886887772,0.0044681715718489275,0.0052932351121766,1.9926443037346335,2.4959896428077917,False,False,False,127
initiates,0.0055057185319972776,-0.004210154945072697,0.010656347360974962,0.012851862275191068,1.9892037497640793,2.4193230190350072,False,False,False,128
citation,0.002225250931447511,-0.01771454337885954,0.0039384154067446,0.006643745994979534,1.9858624549708161,3.4707818707674165,True,False,False,129
gezari,0.004266101302729863,-0.05607581316232927,0.005877499780562231,0.005644719394048635,1.9836208432114744,2.131155952423245,False,False,False,130
pha,0.002298533605801259,-0.015272880120542582,0.004124787225223853,0.004306639013972153,1.9818223507133084,2.1333764509489064,False,False,False,131
guan,0.0020330429130852026,-0.040928922804048196,0.0030865681689900212,0.0031806692575002656,1.9809255883349484,2.2154462138061257,True,False,False,132
