marker,q,quarter,year,obs_rate,bg_rate,pi,assisted_rate,excess_ratio
delves,24,2021Q1,2021,1.0366372841043041e-07,5.923603325716773e-08,0.0134601634650189,3.3599162418388914e-06,1.7500113142347662
delves,25,2021Q2,2021,1.6478963038180274e-07,5.8985984913877265e-08,0.015056340729309,7.08616791245659e-06,2.7937082108979707
delves,26,2021Q3,2021,6.555936462748415e-08,5.873699207971792e-08,0.0169425234059064,4.6141446723007554e-07,1.1161512073772333
delves,27,2021Q4,2021,6.13045178395074e-08,5.8489050299152765e-08,0.0186303001379809,2.096120874752877e-07,1.048136660211688
delves,28,2022Q1,2022,6.600602773645892e-08,5.824215513545329e-08,0.020437028289517,4.3813459796130375e-07,1.1333033192701962
delves,29,2022Q2,2022,3.193967132672859e-08,5.7996302170619186e-08,0.0224213957963651,-1.1041361128021733e-06,0.550719099862011
delves,30,2022Q3,2022,6.362831696802417e-08,5.7751487005299487e-08,0.0255817135073226,2.8747925567265155e-07,1.1017606691613915
delves,31,2022Q4,2022,1.5278659526195324e-07,5.750770525871387e-08,0.0315770469630995,3.074854137766509e-06,2.656802155026038
delves,32,2023Q1,2023,2.2599892250170865e-07,5.726495256857424e-08,0.0453715362686002,3.776203825041983e-06,3.946548671826403
delves,33,2023Q2,2023,3.876184961855917e-07,5.702322459100669e-08,0.0783600738841893,4.275948184809672e-06,6.797554837800671
delves,34,2023Q3,2023,7.433123721309149e-07,5.6782517000473764e-08,0.1455438832721339,4.773778104144364e-06,13.090514675929443
delves,35,2023Q4,2023,1.5684229235249412e-06,5.654282548969703e-08,0.2014588297189642,7.561203207684523e-06,27.738672589163976
delves,36,2024Q1,2024,1.7073257498683342e-06,5.630414576958005e-08,0.2441403906410504,6.8188951278008305e-06,30.323268855821386
delves,37,2024Q2,2024,1.8374626478296121e-06,5.60664735691318e-08,0.2684933101588826,6.690854406297616e-06,32.77293061001885
delves,38,2024Q3,2024,1.545162285571961e-06,5.582980463538945e-08,0.3374619590875166,4.469164228946995e-06,27.676297555813264
delves,39,2024Q4,2024,8.98128435060599e-07,5.559413473334347e-08,0.4010375087971567,2.1564806649092685e-06,16.155093327173095
delves,40,2025Q1,2025,4.091352705124673e-07,5.535945964586101e-08,0.4830392021193057,7.877551105877225e-07,7.390521387487144
delves,41,2025Q2,2025,6.705485886749279e-07,5.51257751736107e-08,0.6047204670325916,1.0728237811981838e-06,12.16397568221275
delves,42,2025Q3,2025,3.989199702098841e-07,5.4893077134987454e-08,0.736230847313499,5.221743576331469e-07,7.267218218226331
delves,43,2025Q4,2025,2.0185690182558373e-07,5.466136136603767e-08,0.8525674304452211,2.2731109580719356e-07,3.6928626872985633
delves,44,2026Q1,2026,1.4783426315541072e-07,5.4430623720384715e-08,0.9059333633046016,1.5753273168814364e-07,2.716012660719256
delving,0,2015Q1,2015,2.2147371979552482e-07,2.370658105007623e-07,0.0,,0.9342288511687883
delving,1,2015Q2,2015,8.708941640206362e-08,2.391022597945228e-07,0.0,,0.3642350200993735
delving,2,2015Q3,2015,3.489955406658547e-07,2.4115620265143103e-07,0.0,,1.447176298302787
delving,3,2015Q4,2015,3.3874311737499827e-07,2.432277893451769e-07,0.0,,1.392699075574258
delving,4,2016Q1,2016,3.9539548774669384e-07,2.4531717144033705e-07,0.0,,1.6117725694666953
delving,5,2016Q2,2016,3.4180987645965634e-07,2.4742450180346205e-07,0.0,,1.381471414383883
delving,6,2016Q3,2016,1.6585034436128938e-07,2.495499346142599e-07,0.0,,0.6645978273552803
delving,7,2016Q4,2016,2.776348729390122e-07,2.5169362537687854e-07,0.0,,1.1030667642984204
delving,8,2017Q1,2017,1.7528953119647506e-07,2.5385573093128207e-07,0.0,,0.6905084653925949
delving,9,2017Q2,2017,2.9699132513795674e-07,2.5603640946472416e-07,0.0,,1.159957389493369
delving,10,2017Q3,2017,4.235876655338238e-07,2.582358205233244e-07,0.0,,1.6403133565103702
delving,11,2017Q4,2017,4.2288210454429876e-07,2.6045412502373997e-07,0.0,,1.6236337378252457
delving,12,2018Q1,2018,1.6499876972792322e-07,2.626914852649372e-07,0.0,,0.62810855693139
delving,13,2018Q2,2018,1.5282331912687758e-07,2.64948064940069e-07,0.0,,0.5768048132808445
delving,14,2018Q3,2018,2.7852535308857955e-07,2.6722402914844987e-07,0.0,,1.042291570769826
delving,15,2018Q4,2018,2.922211852834635e-07,2.695195444076333e-07,0.0,,1.0842300358058459
delving,16,2019Q1,2019,2.306012554931621e-07,2.718347786655982e-07,0.0,,0.8483140259872334
delving,17,2019Q2,2019,4.141659982592227e-07,2.7416990131303467e-07,0.0,,1.5106180374859852
delving,18,2019Q3,2019,2.887863953884278e-07,2.7652508319573603e-07,0.0,,1.0443406871123249
delving,19,2019Q4,2019,2.1411507986099933e-07,2.7890049662710136e-07,0.0,,0.7677113610424218
delving,20,2020Q1,2020,4.076643673173357e-07,2.8129631540074107e-07,0.0066251231857163,1.9355364581639608e-05,1.4492346504310512
delving,21,2020Q2,2020,5.216079176952258e-07,2.837127148031906e-07,0.0082047179568557,2.9278640284891655e-05,1.838507371997978
delving,22,2020Q3,2020,3.3843718139792956e-07,2.861498716267385e-07,0.0099446543138359,5.543980674095587e-06,1.1827270076129757
delving,23,2020Q4,2020,3.9071024480431265e-07,2.886079641823589e-07,0.0120938189286729,8.731125685353316e-06,1.3537749933935979
delving,24,2021Q1,2021,3.801003375049115e-07,2.9108717231275665e-07,0.0134601634650189,6.904169206827993e-06,1.3057955611197982
delving,25,2021Q2,2021,5.932426693744899e-07,2.935876774055277e-07,0.015056340729309,2.019583333963654e-05,2.0206661077094656
delving,26,2021Q3,2021,2.9501714082367867e-07,2.961096624064288e-07,0.0169425234059064,2.316256681054811e-07,0.9963104156282121
delving,27,2021Q4,2021,5.517406605555666e-07,2.98653311832761e-07,0.0186303001379809,1.3883369974923223e-05,1.8474285691649344
delving,28,2022Q1,2022,2.310210970776062e-07,3.012188117868723e-07,0.020437028289517,-3.133611033082178e-06,0.7669544133288244
delving,29,2022Q2,2022,2.874570419405573e-07,3.0380634996977237e-07,0.0224213957963651,-4.2537697910136275e-07,0.9461851010328067
delving,30,2022Q3,2022,4.772123772601812e-07,3.0641611569486375e-07,0.0255817135073226,6.982914213307758e-06,1.5573997345994697
delving,31,2022Q4,2022,8.861622525193288e-07,3.0904829990179575e-07,0.0315770469630995,1.858542332926855e-05,2.8673908020232397
delving,32,2023Q1,2023,6.779967675051259e-07,3.1170309517043274e-07,0.0453715362686002,8.384907188728759e-06,2.175136461620349
delving,33,2023Q2,2023,7.752369923711834e-07,3.1438069573494245e-07,0.0783600738841893,6.195644887973383e-06,2.465917923360007
delving,34,2023Q3,2023,1.8273095814884991e-06,3.170812974980098e-07,0.1455438832721339,1.0693527562620032e-05,5.7629055889049035
delving,35,2023Q4,2023,1.8939446623697403e-06,3.198050980451686e-07,0.2014588297189642,8.133508605210887e-06,5.92218408632824
delving,36,2024Q1,2024,1.955664040758274e-06,3.2255229665925554e-07,0.2441403906410504,7.011784421711908e-06,6.063091352979075
delving,37,2024Q2,2024,2.153276540425327e-06,3.25323094334994e-07,0.2684933101588826,7.133513007925875e-06,6.618886202428776
delving,38,2024Q3,2024,1.545162285571961e-06,3.281176937936979e-07,0.3374619590875166,3.934582241884102e-06,4.70917087008259
delving,39,2024Q4,2024,1.215114941552575e-06,3.309362994981014e-07,0.4010375087971567,2.535664342783668e-06,3.671748742568949
