bigram,base_freq,rec_freq,abs_excess,ratio,base_n,rec_n
explorer bhex,0.0,0.0006570142353084316,0.0006570142353084316,657015.2353084316,0,27
lrds and,0.0,0.0006326803747414528,0.0006326803747414528,632681.3747414527,0,26
models llms,0.0,0.0006326803747414528,0.0006326803747414528,632681.3747414527,0,26
red dots,1.4935181313101142e-05,0.004282759459788296,0.004267824278475194,286.73731056221914,1,176
miri mrs,1.4935181313101142e-05,0.002117045869327169,0.002102110688014068,141.73949987271644,1,87
offering insights,1.4935181313101142e-05,0.0017277041002555055,0.0017127689189424043,115.67247772628897,1,71
dr bao,1.4935181313101142e-05,0.0017277041002555055,0.0017127689189424043,115.67247772628897,1,71
nirspec ifu,1.4935181313101142e-05,0.0016547025185545687,0.0016397673372414675,110.78491107383383,1,68
inference sbi,1.4935181313101142e-05,0.0016060347974206108,0.0015910996161075095,107.52653330553039,1,66
desi collaboration,1.4935181313101142e-05,0.001484365494585716,0.0014694303132726147,99.38058888477181,1,61
observatory ctao,1.4935181313101142e-05,0.001435697773451758,0.0014207625921386568,96.12221111646838,1,59
jwst have,1.4935181313101142e-05,0.0012166930283489476,0.0012017578470358463,81.45951115910295,1,50
informed neural,1.4935181313101142e-05,0.001070689864947074,0.0010557546836339727,71.68437785419266,1,44
probe ep,1.4935181313101142e-05,0.0010463560043800948,0.0010314208230669936,70.05518897004094,1,43
desi data,5.974072525240457e-05,0.003504075921644969,0.0034443351963925643,58.65376178609659,4,144
delves into,1.4935181313101142e-05,0.0008273512592772844,0.0008124160779641832,55.39248901267552,1,34
jwst cycle,1.4935181313101142e-05,0.0007786835381433264,0.0007637483568302253,52.13411124437208,1,32
vision transformer,1.4935181313101142e-05,0.0007543496775763475,0.0007394144962632464,50.50492236022037,1,31
nircam data,1.4935181313101142e-05,0.0007543496775763475,0.0007394144962632464,50.50492236022037,1,31
jwst has,7.46759065655057e-05,0.0037474145273147584,0.003672738620749253,50.181718815944386,5,154
nirspec spectroscopy,1.4935181313101142e-05,0.0007300158170093686,0.0007150806356962674,48.87573347606865,1,30
in desi,1.4935181313101142e-05,0.0007056819564423896,0.0006907467751292884,47.24654459191694,1,29
findings emphasize,1.4935181313101142e-05,0.0007056819564423896,0.0006907467751292884,47.24654459191694,1,29
release q,1.4935181313101142e-05,0.0007056819564423896,0.0006907467751292884,47.24654459191694,1,29
orbiter solo,1.4935181313101142e-05,0.0007056819564423896,0.0006907467751292884,47.24654459191694,1,29
release observations,1.4935181313101142e-05,0.0007056819564423896,0.0006907467751292884,47.24654459191694,1,29
study underscores,2.9870362626202283e-05,0.0013140284706168633,0.001284158107990661,43.98960593328391,2,54
findings offer,2.9870362626202283e-05,0.0012896946100498844,0.0012598242474236821,43.17498422112827,2,53
nircam grism,1.4935181313101142e-05,0.0006326803747414528,0.0006177451934283516,42.358977939461795,1,26
the ceers,1.4935181313101142e-05,0.0006326803747414528,0.0006177451934283516,42.358977939461795,1,26
our jwst,1.4935181313101142e-05,0.0006326803747414528,0.0006177451934283516,42.358977939461795,1,26
spectroscopy mission,1.4935181313101142e-05,0.0006326803747414528,0.0006177451934283516,42.358977939461795,1,26
physics informed,4.4805543939303425e-05,0.0018493734030904003,0.0018045678591510968,41.27464964929297,3,76
planck pr,2.9870362626202283e-05,0.0012166930283489476,0.0011868226657227453,40.731119084661344,2,50
using desi,1.4935181313101142e-05,0.0006083465141744738,0.0005934113328613726,40.72978905531008,1,25
desi year,1.4935181313101142e-05,0.0006083465141744738,0.0005934113328613726,40.72978905531008,1,25
jwst nirspec,0.00020909253838341597,0.008200511011071906,0.007991418472688491,39.219346874481516,14,337
critical insights,4.4805543939303425e-05,0.0017277041002555055,0.001682898556316202,38.559213640666364,3,71
jwst data,7.46759065655057e-05,0.0027983939652025795,0.002723718058637074,37.47336484469747,5,115
