word,base_df,base_slope,disc_df,val_df,disc_ratio,val_ratio,in_dict,is_seed,is_control,disc_rank,n_docs,topic_entropy,top_share
embodies,0.0024311715618555,-0.0504177492016146,0.0039315308264825,0.0012779719367795,2.244249075553668,0.8069060791799458,False,False,False,64,158,0.956996278037166,0.24149868045310652
teff,0.0027642745779942,0.0268192761364359,0.0073665557288299,0.0122556580601468,2.238591164638613,3.5298155726683147,True,False,False,65,633,0.8428472251140819,0.3546798412514683
xing,0.0024599613352384,0.033022312726218,0.0068011952263189,0.0095941698923693,2.2306827402348928,2.945622943382384,False,False,False,66,512,0.9635754625624617,0.2060897221031399
mbh,0.0032308236055558,-0.0050390068824428,0.0069535884161149,0.0118870610769365,2.2239264370160954,3.840278813490058,False,False,False,67,584,0.840488637914906,0.2821005540769262
mrs,0.0039062341070228,0.0381425896368161,0.0110797347864861,0.0169362022524811,2.2135933520665314,3.1351207751754795,True,False,False,68,738,0.9053066771503836,0.22715406774434227
gent,0.0033037761913293,-0.0361461223175079,0.0057755726702681,0.0046163476083668,2.211168470689159,1.899859158865932,True,False,False,69,301,0.9311552804954758,0.2126578874642817
aids,0.0046435284120827,0.0198128398947294,0.0116518910147337,0.0122872453345467,2.2060652867863144,2.2359766437513926,False,False,False,70,691,0.9698864936701607,0.24924638343180605
gratitude,0.0027875217414924,-0.024665211933711,0.0052090307316605,0.0048441528595145,2.1936454295275456,2.1431436505507917,True,False,False,71,1291,0.9925366338115147,0.16373992015012462
jiao,0.003734160248656,0.0454317067234892,0.0109878635951311,0.0127862476174284,2.1901330604650457,2.327227677134719,False,False,False,72,764,0.9917874221770686,0.15449215954142975
fabricius,0.0022875337202435,-0.0412619282544546,0.0038173714098625,0.0039993705285402,2.182105742834209,2.482805353736578,False,False,False,73,202,0.8812476042728176,0.2479102122542655
vos,0.0023119268926078,0.0084023799648103,0.0053081506971346,0.0052716382315403,2.173951995781153,2.123020024725834,False,False,False,74,287,0.9471522144909365,0.2475497655199001
hori,0.0020621035326214,-0.0060179064824625,0.0042993797857595,0.0036513483907986,2.1681203074882838,1.863622422058518,False,False,False,75,217,0.889135278694924,0.29631943547424394
mosaics,0.0094727725436832,-0.0588209572664113,0.0139975111693868,0.0184171184349555,2.165809353293536,3.205400626424156,False,False,False,76,764,0.80275323274874,0.3975710444181127
alabama,0.0040485831024022,-0.051264944001351,0.0062494261752812,0.0047989150279067,2.154039281144608,1.8326718179336592,True,False,False,77,308,0.9503072652305663,0.1945426887396924
editing,0.0041639400287199,-0.0177763708098609,0.0079522145540254,0.0084307106084043,2.14370386729218,2.354947577663231,False,False,False,78,724,0.9684441406598375,0.18509222694395508
encompassing,0.0228217674626303,0.0128022772658054,0.0529565632480728,0.0654543579343202,2.1351617825045768,2.572347545421128,False,False,False,79,3076,0.9915449479927128,0.1716015003178532
weibel,0.0020203547078572,-0.0236103065870612,0.0036878083482393,0.0061425016224488,2.1280929220452096,3.715995468860228,False,False,False,80,289,0.8292076617168295,0.3687400368823826
gonz,0.0078623309636413,-0.0066531846337016,0.0159727417835189,0.0462802627647305,2.1213362744439417,6.228805162450143,False,False,False,81,1883,0.9652842619997232,0.23257039020110407
lez,0.0080989756266585,-0.0066790154294615,0.0163947700638827,0.049482528902867,2.114119466434324,6.466620894005315,False,False,False,82,2008,0.9720037672531558,0.22101409741617323
warrants,0.0072614507714588,-0.0298068005646276,0.0126468927655847,0.0227746995143148,2.113987803082954,4.040742307366617,False,False,False,83,855,0.9916433242228155,0.16840233151020687
andr,0.0034251547492595,-0.0332008306686174,0.0058302938942627,0.0193095787065002,2.112191757848952,7.475729350963888,False,False,False,84,742,0.9731533027110337,0.16967258879137626
facilitating,0.0106953201811547,0.0561981807582036,0.0325467237462872,0.0530448516428442,2.1118878353183743,3.0760521246584758,False,False,False,85,2433,0.9796859584461419,0.19326494521640664
pinpointing,0.0025249783036215,-0.0065185307740806,0.0050926060731282,0.0050028813087691,2.1041838624470763,2.094236504016953,False,False,False,86,293,0.9849063557355832,0.20607606589030056
utilizing,0.0416925689542102,0.0516130835016962,0.1224947214268901,0.1205225198231066,2.100677654962932,1.8641449979095757,False,False,False,87,6777,0.9873941503081279,0.17808377686536983
align,0.0362775122595872,0.0484291966549478,0.1042202964060595,0.1679000331560983,2.0970237193428867,3.066456123561126,True,False,False,88,7327,0.9914381555657561,0.16747153136254112
dutta,0.002758621427864,0.0375728378334499,0.0073651077291572,0.0111443608960504,2.0913277655391296,2.935369755764819,False,False,False,89,684,0.9218178689048451,0.23804110037483922
weaver,0.0142695855153291,-0.0416282310479711,0.0226518980616655,0.0260737396073874,2.080684164089794,2.60293132132293,True,False,False,90,1376,0.920938105255652,0.2734992705527436
pradhan,0.002385549355213,-0.0467809847845242,0.003652292865358,0.0021386469146106,2.0750850033792445,1.334267272205821,False,False,False,91,230,0.9098536183574926,0.31857383495415814
mcleod,0.0034530932886972,-0.0131613888297653,0.0065692520060192,0.0067366617671578,2.072340342217569,2.181834170695482,False,False,False,92,361,0.8446744245319233,0.41723223431319345
hinges,0.0054965713914459,-0.0232659755434526,0.0097918147685119,0.0106044069415453,2.0722834920556688,2.3511532243680118,False,False,False,93,547,0.9743289053715329,0.20813731646779743
reformulated,0.0074442359909808,-0.0417790081976859,0.0117022682397103,0.0121782388961979,2.0624739368946,2.333413440063472,False,False,False,94,560,0.8211977562263225,0.35452918844779374
timestamp,0.0020660587531545,0.0337150694609198,0.0053049793584575,0.0087821948902764,2.0623685857361225,3.1915460835633382,False,False,False,95,346,0.811026069065166,0.3763662509919338
nakajima,0.0077944715920821,-0.0353456113242636,0.0127750966820605,0.0122964117124565,2.062315675096711,2.1304441374612075,False,False,False,96,704,0.9091879643726556,0.3417513418552009
fakultat,0.0023395451382082,-0.0285488291051312,0.004004738179632,0.0,2.060789308948364,0.0,False,False,False,97,94,0.9272225045306466,0.25501876944276003
surpass,0.0070351995404733,0.0414881323213145,0.0189146185852144,0.0221228710352716,2.053069887274976,2.2100978333019263,True,False,False,98,1118,0.9735762609884739,0.20662574049977403
mei,0.0045766959110167,-0.0326628347753579,0.0075856358853704,0.010389032193124,2.04948296459328,2.996387593076689,False,False,False,99,522,0.9412501188793316,0.2081828416554763
unresolvable,0.0023270500956773,-0.0408863583532822,0.0036527459137405,0.0041580989777949,2.047540070668935,2.529421517134649,True,False,False,100,192,0.9241262737450424,0.2834787270775858
perrin,0.0031804979982499,0.012782514892054,0.007076266897476,0.0055562878011683,2.047505780063931,1.5671223810636086,False,False,False,101,347,0.8891915573026105,0.3011555412405873
gup,0.0023960544769222,-0.0481959584069789,0.0035858812379452,0.0004172969589484,2.04716225726162,0.2623397265342226,True,False,False,102,100,0.28362719834249067,0.7703347614731355
diminishes,0.0179584601967504,-0.0169325159270508,0.032874073690476,0.0441605746024797,2.0435415219672386,2.8396973370837024,False,False,False,103,2012,0.9902268602217522,0.15597880218165297
culminating,0.0038202016228669,-0.0167576622773883,0.0069621963353813,0.0087017096208245,2.032195209392722,2.626511242392682,False,False,False,104,429,0.9929639781549248,0.14682977204670597
